

                                                            Ecliptic Coordinate System

                         +---------- Position (1 Rs = 60268.0 km) ----------+    +-------------------- Velocity --------------------+

      SCET (UT)              X (Rs)        Y (Rs)        Z (Rs)        R (Rs)      X (km/s)      Y (km/s)      Z (km/s)   Vmag (km/s)
2012 128 02 00 00.000        22.825        20.022       -14.539        33.664         0.276         2.652        -1.174         2.913
2012 129 02 00 00.000        22.877        23.482       -15.987        36.474        -0.201         2.199        -0.855         2.368
2012 130 02 00 00.000        22.317        26.314       -17.007        38.467        -0.588         1.773        -0.573         1.954
2012 131 02 00 00.000        21.249        28.547       -17.639        39.719        -0.915         1.360        -0.312         1.669
2012 132 02 00 00.000        19.744        30.191       -17.906        40.273        -1.203         0.948        -0.062         1.533
2012 133 02 00 00.000        17.847        31.237       -17.817        40.147        -1.463         0.523         0.186         1.565
2012 134 02 00 00.000        15.594        31.660       -17.372        39.336        -1.702         0.073         0.438         1.759
2012 135 02 00 00.000        13.010        31.409       -16.555        37.814        -1.926        -0.420         0.704         2.093
2012 136 02 00 00.000        10.113        30.402       -15.350        35.527        -2.137        -0.988         0.988         2.553
2012 137 02 00 00.000         6.922        28.513       -13.701        32.383        -2.333        -1.665         1.322         3.156
2012 138 02 00 00.000         3.469        25.528       -11.525        28.223        -2.499        -2.540         1.730         3.961
2012 139 02 00 00.000        -0.178        21.042        -8.674        22.761        -2.581        -3.813         2.280         5.138
2012 140 02 00 00.000        -3.742        14.120        -4.835        15.386        -2.266        -6.147         3.162         7.275
2012 141 02 00 00.000        -4.407         1.088         0.746         4.600         5.817       -13.918         4.186        15.655
2012 142 02 00 00.000        11.469         0.114        -3.164        11.898         6.283         4.852        -3.717         8.766
2012 143 02 00 00.000        17.637         6.642        -7.595        20.319         2.752         3.690        -3.198         5.606
2012 144 02 00 00.000        20.379        11.462       -11.630        26.114         1.279         3.060        -2.487         4.146
2012 145 02 00 00.000        21.578        15.444       -14.804        30.385         0.438         2.525        -1.960         3.226
2012 146 02 00 00.000        21.766        18.708       -17.289        33.506        -0.161         2.055        -1.517         2.559
2012 147 02 00 00.000        21.201        21.327       -19.176        35.666        -0.627         1.620        -1.121         2.068
2012 148 02 00 00.000        20.029        23.337       -20.515        36.968        -1.014         1.201        -0.748         1.741
2012 149 02 00 00.000        18.344        24.749       -21.326        37.468        -1.348         0.782        -0.383         1.605
2012 150 02 00 00.000        16.208        25.553       -21.611        37.184        -1.647         0.348        -0.012         1.683
2012 151 02 00 00.000        13.663        25.714       -21.350        36.107        -1.919        -0.120         0.381         1.960
2012 152 02 00 00.000        10.741        25.165       -20.504        34.191        -2.173        -0.648         0.812         2.408
2012 153 02 00 00.000         7.471        23.798       -18.989        31.349        -2.405        -1.273         1.317         3.023
2012 154 02 00 00.000         3.887        21.423       -16.668        27.420        -2.604        -2.076         1.950         3.859
2012 155 02 00 00.000         0.068        17.674       -13.277        22.106        -2.713        -3.240         2.842         5.093
2012 156 02 00 00.000        -3.686        11.686        -8.213        14.751        -2.380        -5.402         4.415         7.372
2012 157 02 00 00.000        -3.748        -0.121         0.662         3.808         9.050       -12.439         7.967        17.324
2012 158 02 00 00.000        12.207         0.971        -2.603        12.519         5.759         4.359        -4.161         8.336
2012 159 02 00 00.000        17.800         6.771        -7.892        20.615         2.418         4.079        -3.885         6.130
2012 160 02 00 00.000        20.189        12.147       -12.915        26.869         1.078         3.454        -3.170         4.811
2012 161 02 00 00.000        21.171        16.708       -17.064        31.915         0.338         2.943        -2.638         3.966
2012 162 02 00 00.000        21.295        20.600       -20.527        36.044        -0.151         2.515        -2.206         3.349
2012 163 02 00 00.000        20.826        23.920       -23.419        39.425        -0.504         2.141        -1.838         2.866
2012 164 02 00 00.000        19.917        26.734       -25.815        42.164        -0.774         1.806        -1.511         2.478
2012 165 02 00 00.000        18.664        29.087       -27.764        44.331        -0.988         1.495        -1.212         2.164
2012 166 02 00 00.000        17.135        31.009       -29.300        45.974        -1.163         1.202        -0.933         1.915
2012 167 02 00 00.000        15.379        32.518       -30.446        47.126        -1.307         0.919        -0.666         1.731
2012 168 02 00 00.000        13.434        33.628       -31.214        47.808        -1.428         0.641        -0.406         1.617
2012 169 02 00 00.000        11.330        34.341       -31.612        48.031        -1.530         0.363        -0.149         1.579
2012 170 02 00 00.000         9.095        34.655       -31.640        47.799        -1.613         0.082         0.110         1.619
2012 171 02 00 00.000         6.752        34.560       -31.293        47.109        -1.680        -0.209         0.375         1.734
2012 172 02 00 00.000         4.325        34.040       -30.559        45.948        -1.730        -0.515         0.652         1.919
2012 173 02 00 00.000         1.840        33.067       -29.415        44.295        -1.760        -0.844         0.946         2.169
